ID,DIVISION,LOCATION,IMAGE_LINK,VIDEO_LINK,LATITUDE,LONGITUDE,Location_1
Drfn240,Acton,Black Mountain Peninsula District Park,,,-35.286323,149.101427,"(-35.286323, 149.101427)"
Drfn62,Acton,Black Mountain Peninsula District Park,,,-35.292273,149.101002,"(-35.292273, 149.101002)"
Drfn65,Acton,Black Mountain Peninsula District Park,,,-35.288357,149.100244,"(-35.288357, 149.100244)"
Drfn64,Acton,Black Mountain Peninsula District Park,,,-35.289413,149.099886,"(-35.289413, 149.099886)"
Drfn59,Acton,Black Mountain Peninsula District Park,,,-35.291521,149.100124,"(-35.291521, 149.100124)"
Drfn60,Acton,Black Mountain Peninsula District Park,,,-35.293533,149.100313,"(-35.293533, 149.100313)"
Drfn61,Acton,Black Mountain Peninsula District Park,,,-35.292841,149.101003,"(-35.292841, 149.101003)"
Drfn194,Amaroo,Diamond Street Pedestrian Parkland,,,-35.17412,149.13556,"(-35.17412, 149.13556)"
Drfn212,Amaroo,Barrington Crescent Pedestrian Parkland,,,-35.175021,149.128942,"(-35.175021, 149.128942)"
Drfn244,Amaroo,Diamond Street Pedestrian Parkland,,,-35.172776,149.137983,"(-35.172776, 149.137983)"
Drfn125,Barton,Telopea Park,,,-35.31557,149.137127,"(-35.31557, 149.137127)"
Drfn242,Barton,Grevillea Park,,,-35.304195,149.149917,"(-35.304195, 149.149917)"
Drfn254,Belconnen,Diddams Close Pedestrian Parkland,,,-35.229005,149.073678,"(-35.229005, 149.073678)"
Drfn258,Belconnen,Ginninderra Peninsula District Park,,,-35.224547,149.069189,"(-35.224547, 149.069189)"
Drfn141,Belconnen,John Knight Memorial Park,,,-35.235843,149.074653,"(-35.235843, 149.074653)"
Drfn140,Belconnen,Ginninderra Peninsula District Park,,,-35.226024,149.06937,"(-35.226024, 149.06937)"
Drfn207,Belconnen,Diddams Close Pedestrian Parkland - Dog Park,,,-35.228447,149.073841,"(-35.228447, 149.073841)"
Drfn139,Belconnen,Joynton Smith Drive Pedestrian Parkland,,,-35.227845,149.063213,"(-35.227845, 149.063213)"
Drfn262,Bonner,Don Bell Street Neighbourhood Park,,,-35.155814,149.13964,"(-35.155814, 149.13964)"
Drfn263,Bonner,Fernando Street Pedestrian Parkland,,,-35.161206,149.136355,"(-35.161206, 149.136355)"
Drfn256,Calwell,Calwell Shopping Centre,,,-35.434554,149.113673,"(-35.434554, 149.113673)"
Drfn183,Campbell,Rememberance Park,,,-35.279504,149.151231,"(-35.279504, 149.151231)"
Drfn184,Campbell,Rememberance Park,,,-35.279976,149.150974,"(-35.279976, 149.150974)"
Drfn230,Casey,Casey Dogpark,,,-35.167285,149.098472,"(-35.167285, 149.098472)"
Drfn268,Chapman,Chapman Shopping Centre,,,-35.355582,149.040707,"(-35.355582, 149.040707)"
Drfn223,City,Civic Square,,,-35.281448,149.130707,"(-35.281448, 149.130707)"
Drfn177,City,Glebe Park,,,-35.281049,149.135874,"(-35.281049, 149.135874)"
Drfn201,City,Glebe Park,,,-35.283489,149.136337,"(-35.283489, 149.136337)"
Drfn146,City,Hobart Place,,,-35.279743,149.126436,"(-35.279743, 149.126436)"
Drfn226,City,West Row Pedestrian Parkland,,,-35.279282,149.127225,"(-35.279282, 149.127225)"
Drfn251,City,London Circuit Road Verge,,,-35.28224,149.132171,"(-35.28224, 149.132171)"
Drfn237,Crace,Hilltop Reserve Park Pedestrian Parkland,,,-35.202575,149.109475,"(-35.202575, 149.109475)"
Drfn234,Crace,Yinnar Street Pedestrian Parkland,,,-35.203233,149.099211,"(-35.203233, 149.099211)"
Drfn238,Crace,Hilltop Reserve Park Pedestrian Parkland,,,-35.202084,149.10935,"(-35.202084, 149.10935)"
Drfn236,Crace,Hilltop Reserve Neighbourhood Park,,,-35.202304,149.112106,"(-35.202304, 149.112106)"
Drfn233,Crace,Medhurst Crescent Neighbourhood Park,,,-35.197411,149.107279,"(-35.197411, 149.107279)"
Drfn178,Curtin,Curtin Shopping Centre,,,-35.325348,149.082596,"(-35.325348, 149.082596)"
Drfn127,Deakin,Deakin Shopping Centre,,,-35.314665,149.107855,"(-35.314665, 149.107855)"
Drfn196,Deakin,Hannah Place - Pedestrian Parkland,,,-35.314043,149.104746,"(-35.314043, 149.104746)"
Drfn47,Dickson,Dickson Shopping Centre,,,-35.249855,149.139125,"(-35.249855, 149.139125)"
Drfn43,Downer,Bonython Street - Road Verge,,,-35.246948,149.143837,"(-35.246948, 149.143837)"
Drfn32,Duffy,Duffy Place - Road Verge,,,-35.336647,149.0328,"(-35.336647, 149.0328)"
Drfn77,Evatt,Read Place Pedestrian Parkland,,,-35.217959,149.067087,"(-35.217959, 149.067087)"
Drfn188,Fadden,Faddon Pines District Park,,,-35.411649,149.120763,"(-35.411649, 149.120763)"
Drfn187,Fadden,Fadden Pines District Park,,,-35.410371,149.120116,"(-35.410371, 149.120116)"
Drfn249,Farrer,Farrer Shopping Centre,,,-35.375089,149.101414,"(-35.375089, 149.101414)"
Drfn239,Forde,Volpato Street Neighbourhood Park,,,-35.160469,149.149012,"(-35.160469, 149.149012)"
Drfn228,Forde,Tom Nicholas Crescent Pedestrian Parkland,,,-35.172354,149.144998,"(-35.172354, 149.144998)"
Drfn225,Forde,Ray Ellis Crescent Town Park,,,-35.171822,149.14207,"(-35.171822, 149.14207)"
Drfn208,Garran,Garran Shopping Centre,,,-35.342536,149.108354,"(-35.342536, 149.108354)"
Drfn186,Gordon,Jim Pike Pedestrian Parkland,,,-35.463097,149.08105,"(-35.463097, 149.08105)"
Drfn172,Gordon,Point Hut District Park,,,-35.455948,149.084371,"(-35.455948, 149.084371)"
Drfn168,Gowrie,Wray Place - Neighbourhood Park,,,-35.407111,149.110985,"(-35.407111, 149.110985)"
Drfn193,Greenway,Lake Tuggeranong District Park,,,-35.408411,149.069807,"(-35.408411, 149.069807)"
Drfn206,Greenway,Lake Tuggeranong District Park - Dog Park,,,-35.41122,149.071987,"(-35.41122, 149.071987)"
Drfn189,Greenway,Tuggeranong Town Park,,,-35.410768,149.064759,"(-35.410768, 149.064759)"
Drfn191,Greenway,Lake Tuggeranong District Park,,,-35.405203,149.071513,"(-35.405203, 149.071513)"
Drfn216,Greenway,Lake Tuggeranong District Park,,,-35.402842,149.071542,"(-35.402842, 149.071542)"
Drfn190,Greenway,Tuggeranong Town Park,,,-35.409912,149.064475,"(-35.409912, 149.064475)"
Drfn243,Greenway,Reed Street North  Road Verge,,,-35.416443,149.071647,"(-35.416443, 149.071647)"
Drfn192,Greenway,Lake Tuggeranong District Park,,,-35.407251,149.070566,"(-35.407251, 149.070566)"
Drfn153,Gungahlin,Yerrabi District Park,,,-35.178965,149.131005,"(-35.178965, 149.131005)"
Drfn154,Gungahlin,Yerrabi District Park,,,-35.180016,149.129653,"(-35.180016, 149.129653)"
Drfn211,Gungahlin,Yerrabi Pond District Park,,,-35.175079,149.136024,"(-35.175079, 149.136024)"
Drfn250,Gungahlin,Gozzard Street Town Park,,,-35.185458,149.131462,"(-35.185458, 149.131462)"
Drfn259,Gungahlin,Yerrabi District Park,,,-35.17918,149.130323,"(-35.17918, 149.130323)"
Drfn90,Higgins,Higgins Shopping Centre,,,-35.231366,149.027017,"(-35.231366, 149.027017)"
Drfn93,Holt,Holt Shopping Centre,,,-35.224621,149.011627,"(-35.224621, 149.011627)"
Drfn248,Jacka,Appleford Av Pedestrian Parkland,,,-35.15993,149.128659,"(-35.15993, 149.128659)"
Drfn195,Kaleen,Kaleen Shopping Centre (Gwydir Sq),,,-35.234179,149.103303,"(-35.234179, 149.103303)"
Drfn200,Kambah,Kambah Village,,,-35.380113,149.058032,"(-35.380113, 149.058032)"
Drfn162,Kambah,Kambah District Park,,,-35.391977,149.063256,"(-35.391977, 149.063256)"
Drfn266,Kingston,Norgrove Neighbourhood Park,,,-35.316014,149.146927,"(-35.316014, 149.146927)"
